StudentID,LMS_Logins_Per_Week,Login_Drop_Ratio,Attendance_Percentage,Attendance_Trend,Avg_Assignment_Delay_Days,Late_Submission_Ratio,Night_Activity_Ratio,Avg_Session_Duration_Min,Feedback_Text,Sentiment_Score,Burnout_Risk_Score,Burnout_Risk_Level,Dropout_Probability,Academic_Disengagement,Risk_Label,Recommended_Intervention
S0163,7,0.37,88.2,-8.98,0.58,0.08,0.31,49.26,Course workload is balanced.,0.86,10,Low,26,No,0,['Regular Monitoring — No Immediate Intervention']
S0164,6,0.47,67.39,-27.92,1.02,0.19,0.16,40.62,Everything is okay.,0.08,26,Low,37,No,0,['Early Academic Warning Notification']
S0165,7,0.09,63.65,-5.27,0.17,0.44,0.06,50.74,Faculty support is helpful.,0.86,0,Low,0,No,0,['Regular Monitoring — No Immediate Intervention']
S0166,2,0.56,86.99,-38.05,2.69,0.0,0.48,54.64,Everything is okay.,0.2,37,Medium,40,No,1,['Early Academic Warning Notification']
S0167,3,0.28,95.14,2.9,3.84,0.27,0.19,37.31,Faculty support is helpful.,0.74,10,Low,20,No,0,['Regular Monitoring — No Immediate Intervention']
S0168,1,0.0,92.44,-1.88,5.99,0.62,0.53,60.9,Routine semester.,0.2,39,Medium,35,Yes,1,"['Provide Assignment Deadline Extension Support', 'Academic Mentor Follow-up', 'Learning Engagement Monitoring']"
S0169,7,0.59,92.51,-10.34,4.66,0.28,0.26,69.63,Faculty support is helpful.,0.5,19,Low,38,No,0,['Regular Monitoring — No Immediate Intervention']
S0170,6,0.2,72.05,-6.61,7.46,0.2,0.27,66.62,Feeling stressed and tired.,-0.5,43,Medium,33,No,1,"['Provide Assignment Deadline Extension Support', 'Mental Wellness Counseling Recommended']"
S0171,5,0.97,45.22,-37.4,5.34,0.28,0.14,45.23,Everything is okay.,0.06,77,High,81,Yes,2,"['Schedule Faculty Counseling Session', 'Early Academic Warning Notification', 'Provide Assignment Deadline Extension Support']"
S0172,6,0.11,85.06,8.67,4.46,0.66,0.29,36.07,Everything is okay.,0.13,25,Low,22,No,0,['Academic Mentor Follow-up']
S0173,2,0.01,45.4,-34.95,1.31,0.22,0.42,30.74,Faculty support is helpful.,0.6,55,Medium,44,Yes,1,"['Schedule Faculty Counseling Session', 'Early Academic Warning Notification']"
S0174,4,0.01,91.9,-32.65,0.33,0.56,0.21,23.03,Faculty support is helpful.,0.74,21,Low,17,No,0,['Early Academic Warning Notification']
S0175,5,0.28,78.39,-24.68,0.5,0.0,0.01,56.28,Too much academic pressure.,-0.48,44,Medium,47,No,1,"['Early Academic Warning Notification', 'Mental Wellness Counseling Recommended']"
S0176,8,0.0,71.51,2.99,5.11,0.0,0.17,46.9,I am managing studies well.,0.97,17,Low,19,No,0,['Provide Assignment Deadline Extension Support']
S0177,6,0.0,84.34,-30.74,1.29,0.03,0.2,56.67,Faculty support is helpful.,0.98,22,Low,10,No,0,['Early Academic Warning Notification']
S0178,4,0.26,88.03,-31.24,3.4,0.0,0.41,50.78,I feel overwhelmed.,-1.0,46,Medium,48,No,1,"['Early Academic Warning Notification', 'Mental Wellness Counseling Recommended']"
S0179,5,0.29,96.58,-38.0,1.92,0.02,0.17,57.8,Routine semester.,0.1,27,Low,26,No,0,['Early Academic Warning Notification']
S0180,7,0.0,68.01,-14.47,1.33,0.53,0.37,40.04,Everything is okay.,0.02,6,Low,17,No,0,['Regular Monitoring — No Immediate Intervention']
S0181,1,0.15,48.94,-37.52,1.1,0.13,0.41,29.07,I am managing studies well.,0.88,54,Medium,68,Yes,1,"['Schedule Faculty Counseling Session', 'Early Academic Warning Notification', 'Learning Engagement Monitoring']"
S0182,6,0.05,81.96,-1.24,5.89,0.09,0.1,45.04,I am managing studies well.,0.56,20,Low,35,No,0,['Provide Assignment Deadline Extension Support']
S0183,8,0.45,99.83,-8.87,5.12,0.12,0.31,14.97,Faculty support is helpful.,0.96,21,Low,16,No,0,['Provide Assignment Deadline Extension Support']
S0184,2,0.0,86.48,-32.48,1.44,0.28,0.36,7.39,Routine semester.,0.1,28,Low,32,No,0,['Early Academic Warning Notification']
S0185,4,0.58,92.71,-19.44,1.35,0.58,0.25,51.88,Too much academic pressure.,-0.84,37,Medium,31,No,1,['Mental Wellness Counseling Recommended']
S0186,5,0.08,78.75,-25.0,3.55,0.0,0.54,19.83,Faculty support is helpful.,0.61,27,Low,35,No,0,['Early Academic Warning Notification']
S0187,7,0.51,89.33,-34.78,3.52,0.0,0.59,26.41,I enjoy learning new topics.,0.42,40,Medium,44,No,1,['Early Academic Warning Notification']
S0188,3,0.72,78.68,-22.62,3.35,0.18,0.71,53.06,Assignments are manageable.,-0.06,42,Medium,46,No,1,"['Early Academic Warning Notification', 'Sleep Hygiene Awareness Program']"
S0189,5,0.31,78.63,-15.89,0.55,0.16,0.3,49.23,Too much academic pressure.,-0.72,29,Low,33,No,0,['Mental Wellness Counseling Recommended']
S0190,4,0.15,30.23,-31.94,0.03,0.35,0.3,43.41,Assignments are manageable.,-0.15,54,Medium,60,Yes,1,"['Schedule Faculty Counseling Session', 'Early Academic Warning Notification']"
S0191,4,0.24,88.07,-9.41,3.28,0.0,0.25,5.0,Everything is okay.,0.06,1,Low,0,No,0,['Regular Monitoring — No Immediate Intervention']
S0192,3,0.03,56.0,3.97,1.12,0.0,0.28,34.88,Everything is okay.,0.17,32,Low,45,No,0,['Schedule Faculty Counseling Session']
S0193,7,0.56,83.04,2.23,5.76,0.0,0.09,30.53,I enjoy learning new topics.,0.71,31,Low,37,No,0,['Provide Assignment Deadline Extension Support']
S0194,2,0.0,78.11,-3.58,3.26,0.69,0.11,51.6,Faculty support is helpful.,0.56,20,Low,36,No,0,['Academic Mentor Follow-up']
S0195,5,0.47,89.01,-19.14,3.61,0.2,0.19,45.03,Faculty support is helpful.,0.64,4,Low,14,No,0,['Regular Monitoring — No Immediate Intervention']
S0196,2,0.61,72.53,3.42,0.48,0.26,0.37,29.6,Feeling stressed and tired.,-0.98,34,Low,32,No,0,['Mental Wellness Counseling Recommended']
S0197,3,0.21,86.89,-12.79,1.78,0.59,0.14,55.6,Feeling stressed and tired.,-0.97,20,Low,32,No,0,['Mental Wellness Counseling Recommended']
S0198,5,0.13,40.29,3.53,0.17,0.0,0.16,5.0,I feel overwhelmed.,-0.66,50,Medium,56,Yes,1,"['Schedule Faculty Counseling Session', 'Mental Wellness Counseling Recommended']"
S0199,2,0.38,56.91,-6.02,3.26,0.77,0.25,55.52,I am managing studies well.,0.94,50,Medium,39,No,1,"['Schedule Faculty Counseling Session', 'Academic Mentor Follow-up']"
S0200,7,0.01,64.4,-6.44,5.99,0.19,0.17,76.59,I am managing studies well.,0.57,18,Low,40,No,0,['Provide Assignment Deadline Extension Support']
S0201,5,0.05,83.7,1.16,3.28,0.74,0.42,26.46,I am managing studies well.,0.55,24,Low,33,No,0,['Academic Mentor Follow-up']
S0202,7,0.31,65.29,-5.38,4.16,0.49,0.08,20.24,Course workload is balanced.,0.43,7,Low,0,No,0,['Regular Monitoring — No Immediate Intervention']
S0203,4,0.51,76.29,-38.61,1.03,0.0,0.61,22.59,Routine semester.,0.19,43,Medium,59,No,1,"['Early Academic Warning Notification', 'Sleep Hygiene Awareness Program']"
S0204,2,0.69,46.63,5.86,5.18,0.0,0.2,5.0,Assignments are manageable.,0.16,55,Medium,61,Yes,1,"['Schedule Faculty Counseling Session', 'Provide Assignment Deadline Extension Support']"
S0205,3,0.46,62.38,-6.91,0.14,0.66,0.63,63.46,I am managing studies well.,0.73,27,Low,18,No,0,"['Academic Mentor Follow-up', 'Sleep Hygiene Awareness Program']"
S0206,4,0.11,100.0,-1.01,0.03,0.03,0.46,33.99,I feel overwhelmed.,-0.43,29,Low,35,No,0,['Mental Wellness Counseling Recommended']
S0207,4,0.89,73.4,-24.25,1.36,0.29,0.2,46.76,I enjoy learning new topics.,0.58,39,Medium,55,No,1,['Early Academic Warning Notification']
S0208,4,0.0,100.0,-4.97,4.11,0.46,0.25,68.79,Assignments are manageable.,-0.19,6,Low,1,No,0,['Regular Monitoring — No Immediate Intervention']
S0209,5,0.0,100.0,-12.93,0.07,0.36,0.11,14.59,Too much academic pressure.,-0.98,21,Low,40,No,0,['Mental Wellness Counseling Recommended']
S0210,7,0.2,69.62,-30.5,8.49,0.45,0.57,36.89,Routine semester.,0.08,38,Medium,50,No,1,"['Early Academic Warning Notification', 'Provide Assignment Deadline Extension Support']"
S0211,6,0.0,88.57,-21.11,2.23,0.25,0.16,20.41,I enjoy learning new topics.,0.67,30,Low,18,No,0,['Early Academic Warning Notification']
S0212,5,0.0,69.48,0.69,2.53,0.35,0.35,16.09,Everything is okay.,0.03,9,Low,0,No,0,['Regular Monitoring — No Immediate Intervention']
S0213,3,0.0,100.0,3.6,5.57,0.0,0.5,41.56,Hard to keep up with deadlines.,-0.46,43,Medium,27,No,1,"['Provide Assignment Deadline Extension Support', 'Mental Wellness Counseling Recommended']"
S0214,3,0.0,90.11,1.42,6.47,0.29,0.12,51.4,Assignments are manageable.,0.18,16,Low,20,No,0,['Provide Assignment Deadline Extension Support']
S0215,6,0.0,68.2,-33.39,4.53,0.9,0.14,28.21,Assignments are manageable.,-0.05,35,Medium,32,No,1,"['Early Academic Warning Notification', 'Academic Mentor Follow-up']"
S0216,5,0.0,100.0,-8.43,2.64,0.44,0.46,51.54,Feeling stressed and tired.,-0.87,21,Low,32,No,0,['Mental Wellness Counseling Recommended']
S0217,2,0.68,82.82,-28.66,6.77,0.12,0.34,31.73,Assignments are manageable.,-0.05,55,Medium,53,No,1,"['Early Academic Warning Notification', 'Provide Assignment Deadline Extension Support']"
S0218,5,0.06,100.0,3.9,7.69,0.46,0.26,13.27,Feeling stressed and tired.,-0.97,37,Medium,32,No,1,"['Provide Assignment Deadline Extension Support', 'Mental Wellness Counseling Recommended']"
S0219,2,0.15,47.25,-22.09,2.36,0.59,0.06,75.4,Routine semester.,-0.03,53,Medium,54,Yes,1,"['Schedule Faculty Counseling Session', 'Early Academic Warning Notification']"
S0220,4,0.33,89.92,-6.12,0.39,0.0,0.27,40.9,Hard to keep up with deadlines.,-0.87,29,Low,29,No,0,['Mental Wellness Counseling Recommended']
S0221,6,0.63,45.05,1.63,3.02,0.38,0.32,5.0,Feeling stressed and tired.,-0.69,62,Medium,73,Yes,1,"['Schedule Faculty Counseling Session', 'Mental Wellness Counseling Recommended']"
S0222,4,0.54,56.63,-15.81,3.5,0.0,0.31,81.92,Routine semester.,-0.12,44,Medium,59,No,1,['Schedule Faculty Counseling Session']
S0223,2,0.28,100.0,-26.94,3.84,0.83,0.28,32.04,Course workload is balanced.,0.65,36,Medium,29,No,1,"['Early Academic Warning Notification', 'Academic Mentor Follow-up']"
S0224,3,0.0,79.35,-3.27,2.19,0.19,0.14,51.59,Faculty support is helpful.,0.94,3,Low,0,No,0,['Regular Monitoring — No Immediate Intervention']
S0225,1,0.26,100.0,4.53,5.76,0.42,0.55,28.56,Feeling stressed and tired.,-0.88,40,Medium,32,Yes,1,"['Provide Assignment Deadline Extension Support', 'Mental Wellness Counseling Recommended', 'Learning Engagement Monitoring']"
S0226,5,0.22,54.13,-29.3,0.16,0.0,0.34,37.85,I enjoy learning new topics.,0.74,47,Medium,56,Yes,1,"['Schedule Faculty Counseling Session', 'Early Academic Warning Notification']"
S0227,7,0.28,75.45,-27.19,0.58,0.19,0.18,55.84,Assignments are manageable.,-0.07,24,Low,31,No,0,['Early Academic Warning Notification']
S0228,8,0.18,88.34,-33.46,5.58,0.57,0.08,77.96,I enjoy learning new topics.,0.85,43,Medium,33,No,1,"['Early Academic Warning Notification', 'Provide Assignment Deadline Extension Support']"
S0229,3,0.23,81.52,-21.49,3.26,0.38,0.19,30.06,Course workload is balanced.,0.69,21,Low,19,No,0,['Early Academic Warning Notification']
S0230,4,0.4,71.38,2.86,0.31,0.43,0.3,84.41,Faculty support is helpful.,0.71,7,Low,7,No,0,['Regular Monitoring — No Immediate Intervention']
S0231,4,0.17,86.81,-6.88,4.19,0.48,0.22,60.59,Everything is okay.,0.07,7,Low,15,No,0,['Regular Monitoring — No Immediate Intervention']
S0232,3,0.15,100.0,2.45,1.36,0.18,0.2,89.7,Assignments are manageable.,-0.02,7,Low,9,No,0,['Regular Monitoring — No Immediate Intervention']
S0233,8,0.06,86.65,-19.61,2.22,0.36,0.06,59.93,I feel overwhelmed.,-0.76,24,Low,16,No,0,['Mental Wellness Counseling Recommended']
S0234,1,0.31,80.79,-21.54,2.1,0.0,0.55,40.49,Course workload is balanced.,0.55,24,Low,26,Yes,0,"['Early Academic Warning Notification', 'Learning Engagement Monitoring']"
S0235,7,0.06,46.89,-2.39,1.14,0.0,0.29,40.42,Assignments are manageable.,-0.06,32,Low,17,Yes,0,['Schedule Faculty Counseling Session']
S0236,0,0.1,65.71,-33.98,3.56,0.34,0.32,36.37,Assignments are manageable.,-0.06,26,Low,40,Yes,0,"['Early Academic Warning Notification', 'Learning Engagement Monitoring']"
S0237,2,0.0,77.87,0.12,0.64,0.09,0.03,40.56,Hard to keep up with deadlines.,-0.99,25,Low,22,No,0,['Mental Wellness Counseling Recommended']
S0238,8,0.58,60.49,-39.65,5.91,0.0,0.13,30.05,Hard to keep up with deadlines.,-0.82,69,Medium,61,No,1,"['Early Academic Warning Notification', 'Provide Assignment Deadline Extension Support', 'Mental Wellness Counseling Recommended']"
S0239,3,0.01,43.38,3.8,1.69,0.3,0.42,33.47,I am managing studies well.,0.59,28,Low,32,Yes,0,['Schedule Faculty Counseling Session']
S0240,3,0.06,83.62,-36.11,5.91,0.24,0.3,33.49,Course workload is balanced.,0.96,38,Medium,36,No,1,"['Early Academic Warning Notification', 'Provide Assignment Deadline Extension Support']"
S0241,4,0.25,89.76,-31.62,0.6,0.31,0.03,66.01,Faculty support is helpful.,0.73,24,Low,21,No,0,['Early Academic Warning Notification']
S0242,2,0.01,72.34,-31.05,1.63,0.47,0.28,45.39,Hard to keep up with deadlines.,-0.77,41,Medium,34,No,1,"['Early Academic Warning Notification', 'Mental Wellness Counseling Recommended']"
S0243,8,0.49,55.01,-8.22,1.32,0.01,0.24,63.64,Hard to keep up with deadlines.,-0.88,48,Medium,40,No,1,"['Schedule Faculty Counseling Session', 'Mental Wellness Counseling Recommended']"
S0244,7,0.0,73.44,-5.81,4.4,0.19,0.3,12.33,I enjoy learning new topics.,0.49,0,Low,0,No,0,['Regular Monitoring — No Immediate Intervention']
S0245,1,0.13,58.77,-24.62,1.86,0.4,0.35,88.28,Too much academic pressure.,-0.9,69,Medium,66,Yes,1,"['Schedule Faculty Counseling Session', 'Early Academic Warning Notification', 'Mental Wellness Counseling Recommended', 'Learning Engagement Monitoring']"
S0246,7,0.35,75.19,-28.65,3.01,0.39,0.26,37.97,I am managing studies well.,0.69,28,Low,34,No,0,['Early Academic Warning Notification']
S0247,10,0.14,88.59,-20.25,3.14,0.26,0.1,33.56,Course workload is balanced.,0.78,30,Low,35,No,0,['Early Academic Warning Notification']
S0248,5,0.02,78.25,-16.24,3.64,0.32,0.45,7.77,Feeling stressed and tired.,-0.88,21,Low,30,No,0,['Mental Wellness Counseling Recommended']
S0249,8,0.32,68.57,4.87,2.59,0.2,0.31,70.11,Hard to keep up with deadlines.,-0.49,27,Low,35,No,0,['Mental Wellness Counseling Recommended']
S0250,4,0.11,90.31,-13.23,0.5,0.0,0.35,35.21,Assignments are manageable.,0.14,2,Low,0,No,0,['Regular Monitoring — No Immediate Intervention']
S0251,5,0.67,67.84,-24.86,3.09,1.0,0.5,17.95,Hard to keep up with deadlines.,-0.42,72,High,75,No,2,"['Early Academic Warning Notification', 'Academic Mentor Follow-up', 'Mental Wellness Counseling Recommended']"
S0252,7,0.25,84.86,-30.12,4.25,0.14,0.19,24.51,I am managing studies well.,0.57,26,Low,6,No,0,['Early Academic Warning Notification']
S0253,5,0.39,38.44,6.03,1.04,0.31,0.31,39.38,Routine semester.,0.01,35,Medium,21,Yes,1,['Schedule Faculty Counseling Session']
S0254,3,0.35,70.23,-30.25,3.9,0.77,0.37,43.97,Everything is okay.,-0.18,37,Medium,36,No,1,"['Early Academic Warning Notification', 'Academic Mentor Follow-up']"
S0255,3,0.06,100.0,-11.45,2.27,0.0,0.16,34.8,Hard to keep up with deadlines.,-0.42,21,Low,36,No,0,['Mental Wellness Counseling Recommended']
S0256,6,0.4,97.47,-9.48,1.91,0.0,0.29,62.9,I feel overwhelmed.,-0.94,28,Low,41,No,0,['Mental Wellness Counseling Recommended']
S0257,4,0.0,100.0,-19.68,3.35,0.4,0.51,46.37,Too much academic pressure.,-0.88,28,Low,29,No,0,['Mental Wellness Counseling Recommended']
S0258,5,0.27,71.08,-23.69,2.34,0.0,0.28,33.89,Faculty support is helpful.,0.86,24,Low,40,No,0,['Early Academic Warning Notification']
S0259,1,0.0,100.0,4.26,1.33,0.32,0.09,32.25,Feeling stressed and tired.,-0.44,24,Low,13,Yes,0,"['Mental Wellness Counseling Recommended', 'Learning Engagement Monitoring']"
S0260,8,0.56,76.77,-25.86,0.13,0.71,0.28,30.14,Everything is okay.,0.15,54,Medium,47,No,1,"['Early Academic Warning Notification', 'Academic Mentor Follow-up']"
S0261,6,0.0,75.15,-31.6,3.67,0.0,0.04,44.15,I feel overwhelmed.,-0.64,43,Medium,34,No,1,"['Early Academic Warning Notification', 'Mental Wellness Counseling Recommended']"
S0262,3,0.65,100.0,-38.08,5.82,0.35,0.19,40.08,Assignments are manageable.,0.03,55,Medium,58,No,1,"['Early Academic Warning Notification', 'Provide Assignment Deadline Extension Support']"
S0263,5,0.28,78.79,-36.56,5.38,0.0,0.41,30.45,Course workload is balanced.,0.43,37,Medium,37,No,1,"['Early Academic Warning Notification', 'Provide Assignment Deadline Extension Support']"
S0264,5,0.32,99.73,-16.42,0.14,0.12,0.21,49.83,Everything is okay.,-0.01,0,Low,18,No,0,['Regular Monitoring — No Immediate Intervention']
S0265,2,0.11,60.56,-30.78,4.95,0.16,0.48,78.69,Routine semester.,0.11,29,Low,27,No,0,['Early Academic Warning Notification']
S0266,10,0.43,84.87,-25.87,1.27,0.1,0.35,49.88,Everything is okay.,-0.1,23,Low,0,No,0,['Early Academic Warning Notification']
S0267,5,0.41,82.93,-39.69,2.14,0.47,0.59,46.49,I enjoy learning new topics.,0.72,27,Low,8,No,0,['Early Academic Warning Notification']
S0268,6,0.67,88.39,-14.24,5.86,0.12,0.31,38.3,Course workload is balanced.,0.88,29,Low,44,No,0,['Provide Assignment Deadline Extension Support']
S0269,5,0.24,100.0,-17.72,2.22,0.44,0.4,24.86,Too much academic pressure.,-0.73,26,Low,23,No,0,['Mental Wellness Counseling Recommended']
S0270,6,0.0,68.07,-13.7,1.36,0.58,0.29,5.0,Course workload is balanced.,0.52,10,Low,8,No,0,['Regular Monitoring — No Immediate Intervention']
S0271,7,0.39,100.0,-35.57,0.63,0.36,0.42,10.32,I enjoy learning new topics.,0.48,22,Low,19,No,0,['Early Academic Warning Notification']
S0272,3,0.4,100.0,-33.72,0.95,0.06,0.34,13.85,Course workload is balanced.,0.99,24,Low,8,No,0,['Early Academic Warning Notification']
S0273,4,0.21,45.09,-1.11,2.31,0.33,0.6,5.58,Routine semester.,0.08,39,Medium,29,Yes,1,['Schedule Faculty Counseling Session']
S0274,8,0.47,100.0,5.75,3.42,0.11,0.05,58.82,Assignments are manageable.,0.03,4,Low,5,No,0,['Regular Monitoring — No Immediate Intervention']
S0275,3,0.0,78.34,-30.91,4.11,0.31,0.42,48.08,Assignments are manageable.,-0.16,28,Low,35,No,0,['Early Academic Warning Notification']
S0276,8,0.07,80.65,-8.05,1.63,0.06,0.56,29.99,Assignments are manageable.,-0.16,1,Low,5,No,0,['Regular Monitoring — No Immediate Intervention']
S0277,4,0.42,87.22,1.41,0.0,0.36,0.21,42.92,Assignments are manageable.,0.13,5,Low,10,No,0,['Regular Monitoring — No Immediate Intervention']
S0278,5,0.28,76.71,-38.77,5.24,0.58,0.24,37.5,Everything is okay.,-0.18,36,Medium,44,No,1,"['Early Academic Warning Notification', 'Provide Assignment Deadline Extension Support']"
S0279,4,0.0,30.04,6.43,2.17,0.61,0.16,5.0,I am managing studies well.,0.81,50,Medium,46,Yes,1,"['Schedule Faculty Counseling Session', 'Academic Mentor Follow-up']"
S0280,4,0.12,82.18,-10.12,3.34,0.0,0.36,63.47,I feel overwhelmed.,-0.47,22,Low,19,No,0,['Mental Wellness Counseling Recommended']
S0281,3,0.15,100.0,-22.88,0.63,0.33,0.21,62.99,Routine semester.,-0.19,27,Low,29,No,0,['Early Academic Warning Notification']
S0282,4,0.0,93.24,-38.67,4.24,0.72,0.44,22.61,Too much academic pressure.,-0.92,64,Medium,60,No,1,"['Early Academic Warning Notification', 'Academic Mentor Follow-up', 'Mental Wellness Counseling Recommended']"
S0283,6,0.67,100.0,-0.93,4.54,0.45,0.15,16.11,Assignments are manageable.,0.08,11,Low,13,No,0,['Regular Monitoring — No Immediate Intervention']
S0284,4,0.31,68.44,-14.97,1.71,0.5,0.44,29.85,Assignments are manageable.,-0.04,5,Low,0,No,0,['Regular Monitoring — No Immediate Intervention']
S0285,5,0.15,87.59,4.79,2.88,0.08,0.22,21.44,I am managing studies well.,0.58,2,Low,0,No,0,['Regular Monitoring — No Immediate Intervention']
S0286,2,0.54,72.92,-32.93,3.05,0.03,0.13,63.6,Faculty support is helpful.,0.78,34,Low,45,No,0,['Early Academic Warning Notification']
S0287,2,0.24,98.9,1.62,5.27,0.66,0.09,42.54,Assignments are manageable.,-0.05,38,Medium,38,No,1,"['Provide Assignment Deadline Extension Support', 'Academic Mentor Follow-up']"
S0288,7,0.29,91.69,-27.36,1.62,0.23,0.24,69.0,I am managing studies well.,0.49,25,Low,10,No,0,['Early Academic Warning Notification']
S0289,5,0.4,68.59,9.97,0.06,0.05,0.29,32.11,I am managing studies well.,0.99,6,Low,9,No,0,['Regular Monitoring — No Immediate Intervention']
S0290,3,0.4,68.31,-21.08,1.24,0.1,0.26,33.23,I feel overwhelmed.,-0.97,50,Medium,48,No,1,"['Early Academic Warning Notification', 'Mental Wellness Counseling Recommended']"
S0291,7,0.09,58.4,-8.13,1.41,0.12,0.28,67.5,Feeling stressed and tired.,-0.64,51,Medium,47,No,1,"['Schedule Faculty Counseling Session', 'Mental Wellness Counseling Recommended']"
S0292,6,0.02,66.6,-3.2,2.2,0.0,0.54,41.12,I enjoy learning new topics.,0.67,9,Low,5,No,0,['Regular Monitoring — No Immediate Intervention']
S0293,1,0.61,68.27,-17.87,0.66,0.53,0.21,61.92,Feeling stressed and tired.,-0.75,30,Low,34,Yes,0,"['Mental Wellness Counseling Recommended', 'Learning Engagement Monitoring']"
S0294,5,0.0,100.0,9.78,4.05,0.0,0.37,52.75,Course workload is balanced.,0.7,4,Low,20,No,0,['Regular Monitoring — No Immediate Intervention']
S0295,4,0.21,92.47,-8.42,1.22,0.34,0.17,26.17,Routine semester.,-0.13,7,Low,13,No,0,['Regular Monitoring — No Immediate Intervention']
S0296,5,0.36,47.37,-34.53,1.77,0.52,0.33,16.52,Course workload is balanced.,0.99,47,Medium,39,Yes,1,"['Schedule Faculty Counseling Session', 'Early Academic Warning Notification']"
S0297,5,0.0,70.34,-39.02,1.81,0.0,0.2,30.32,I am managing studies well.,0.77,28,Low,29,No,0,['Early Academic Warning Notification']
S0298,8,0.32,90.95,-29.95,3.23,0.41,0.28,87.77,Everything is okay.,0.06,21,Low,32,No,0,['Early Academic Warning Notification']
S0299,2,0.38,82.24,-6.7,4.1,0.93,0.15,38.24,Everything is okay.,-0.14,25,Low,40,No,0,['Academic Mentor Follow-up']
S0300,6,0.25,66.98,-27.34,3.56,0.45,0.23,42.77,Feeling stressed and tired.,-0.67,44,Medium,33,No,1,"['Early Academic Warning Notification', 'Mental Wellness Counseling Recommended']"
S0301,4,0.14,71.86,3.74,3.18,0.1,0.39,53.22,Assignments are manageable.,-0.11,6,Low,0,No,0,['Regular Monitoring — No Immediate Intervention']
S0302,5,0.0,74.94,-4.98,0.79,0.38,0.47,41.01,Feeling stressed and tired.,-0.76,23,Low,29,No,0,['Mental Wellness Counseling Recommended']
S0303,8,0.0,88.37,-0.3,4.27,0.25,0.26,37.0,Everything is okay.,-0.08,6,Low,0,No,0,['Regular Monitoring — No Immediate Intervention']
S0304,2,0.0,94.78,-17.63,1.7,0.41,0.2,53.25,Course workload is balanced.,0.41,1,Low,0,No,0,['Regular Monitoring — No Immediate Intervention']
S0305,6,0.11,88.3,3.72,5.96,0.04,0.39,23.09,Faculty support is helpful.,0.52,20,Low,19,No,0,['Provide Assignment Deadline Extension Support']
S0306,9,0.11,82.91,-34.32,3.76,0.49,0.04,67.02,Hard to keep up with deadlines.,-0.68,40,Medium,33,No,1,"['Early Academic Warning Notification', 'Mental Wellness Counseling Recommended']"
S0307,1,0.15,62.36,6.66,5.5,0.46,0.04,28.76,I enjoy learning new topics.,0.71,24,Low,28,Yes,0,"['Provide Assignment Deadline Extension Support', 'Learning Engagement Monitoring']"
S0308,5,0.03,88.31,1.8,0.57,0.05,0.29,43.82,Routine semester.,-0.18,7,Low,6,No,0,['Regular Monitoring — No Immediate Intervention']
S0309,2,0.97,100.0,-11.92,0.64,0.15,0.62,51.68,Feeling stressed and tired.,-0.82,48,Medium,54,No,1,"['Mental Wellness Counseling Recommended', 'Sleep Hygiene Awareness Program']"
S0310,5,0.0,89.51,-27.83,0.73,0.45,0.34,26.13,Assignments are manageable.,0.18,28,Low,30,No,0,['Early Academic Warning Notification']
S0311,3,0.0,79.8,-19.95,5.63,0.1,0.17,47.62,Feeling stressed and tired.,-0.58,42,Medium,37,No,1,"['Provide Assignment Deadline Extension Support', 'Mental Wellness Counseling Recommended']"
S0312,3,0.07,100.0,-11.07,2.34,0.56,0.31,57.81,Too much academic pressure.,-0.46,23,Low,26,No,0,['Mental Wellness Counseling Recommended']
S0313,6,0.36,97.64,-35.69,1.87,0.26,0.72,30.8,Everything is okay.,-0.15,36,Medium,41,No,1,"['Early Academic Warning Notification', 'Sleep Hygiene Awareness Program']"
S0314,6,0.45,52.0,-22.5,8.62,0.66,0.07,49.78,Faculty support is helpful.,0.74,81,High,76,Yes,2,"['Schedule Faculty Counseling Session', 'Early Academic Warning Notification', 'Provide Assignment Deadline Extension Support', 'Academic Mentor Follow-up']"
S0315,8,0.33,77.44,-24.01,0.03,0.23,0.09,70.57,Course workload is balanced.,0.63,27,Low,26,No,0,['Early Academic Warning Notification']
S0316,6,0.0,97.74,-26.12,2.43,0.38,0.43,100.29,Too much academic pressure.,-0.78,48,Medium,54,No,1,"['Early Academic Warning Notification', 'Mental Wellness Counseling Recommended']"
S0317,3,0.04,79.02,-38.12,2.94,0.83,0.06,36.55,Hard to keep up with deadlines.,-0.83,56,Medium,42,No,1,"['Early Academic Warning Notification', 'Academic Mentor Follow-up', 'Mental Wellness Counseling Recommended']"
S0318,5,0.6,94.67,-39.63,0.33,0.31,0.37,53.33,Feeling stressed and tired.,-0.6,51,Medium,50,No,1,"['Early Academic Warning Notification', 'Mental Wellness Counseling Recommended']"
S0319,3,0.77,55.31,-22.16,2.04,0.0,0.25,44.65,Assignments are manageable.,0.01,55,Medium,64,No,1,"['Schedule Faculty Counseling Session', 'Early Academic Warning Notification']"
S0320,2,0.43,100.0,-2.87,3.5,0.0,0.32,5.0,Feeling stressed and tired.,-0.74,30,Low,29,No,0,['Mental Wellness Counseling Recommended']
S0321,5,0.12,94.81,-24.27,4.13,0.31,0.28,33.3,I feel overwhelmed.,-0.77,47,Medium,33,No,1,"['Early Academic Warning Notification', 'Mental Wellness Counseling Recommended']"
S0322,6,0.0,75.61,7.38,0.32,0.57,0.43,70.87,Hard to keep up with deadlines.,-0.66,25,Low,25,No,0,['Mental Wellness Counseling Recommended']
